team_id,date,home_away,opponent,game_id,win_loss,result_score,record,goalie,top_performer
25,DATE,Away,OPPONENT,N/A,N/A,,W-L-OTL,Goalie,Top Performer
25,"Sat, Oct 14",Away,Vegas,401559266,L,4-1,0-1-0,Gibson,Gibson
25,"Sun, Oct 15",Home,Carolina,401559269,W,6-3,1-1-0,Dostal,Vatrano
25,"Thu, Oct 19",Home,Dallas,401559294,L,3-2,1-2-0,Gibson,Terry
25,"Sat, Oct 21",Away,Arizona,401559301,L,2-1,1-3-0,Dostal,Dostal
25,"Sun, Oct 22",Home,Boston,401559316,L,3-1,1-4-0,Gibson,Vatrano
25,"Tue, Oct 24",Away,Columbus,401559319,W,3-2,2-4-0,Dostal,Dostal
25,"Thu, Oct 26",Away,Boston,401559335,W,4-3,3-4-0,Gibson,Carlsson
25,"Sat, Oct 28",Away,Philadelphia,401559352,W,7-4,4-4-0,Dostal,Vatrano
25,"Mon, Oct 30",Away,Pittsburgh,401559367,W,4-3,5-4-0,Dostal,McTavish
25,"Wed, Nov 1",Home,Arizona,401559378,W,4-3,6-4-0,Dostal,Terry
25,"Sun, Nov 5",Home,Vegas,401559409,W,4-2,7-4-0,Gibson,Gibson
25,"Tue, Nov 7",Home,Pittsburgh,401559421,L,2-0,7-5-0,Gibson,Gibson
25,"Fri, Nov 10",Home,Philadelphia,401559442,L,6-3,7-6-0,Dostal,Carlsson
25,"Sun, Nov 12",Home,San Jose,401559459,W,4-1,8-6-0,Gibson,Vatrano
25,"Tue, Nov 14",Away,Nashville,401559467,W,3-2,9-6-0,Gibson,Gibson
25,"Wed, Nov 15",Away,Colorado,401559473,L,8-2,9-7-0,Dostal,Gudas
25,"Fri, Nov 17",Home,Florida,401559484,L,2-1,9-8-0,Gibson,Gibson
25,"Sun, Nov 19",Home,St. Louis,401559500,L,3-1,9-9-0,Gibson,McTavish
25,"Wed, Nov 22",Home,Montreal,401559520,L,4-3,9-10-0,Gibson,McTavish
25,"Fri, Nov 24",Home,Los Angeles,401559528,L,5-2,9-11-0,Gibson,Killorn
25,"Sun, Nov 26",Away,Edmonton,401559549,L,8-2,9-12-0,Dostal,Jones
25,"Tue, Nov 28",Away,Vancouver,401559555,L,3-1,9-13-0,Gibson,Gibson
25,"Thu, Nov 30",Home,Washington,401559582,L,5-4,9-14-0,Gibson,Luneau
25,"Sat, Dec 2",Home,Colorado,401559597,W,4-3,10-14-0,Gibson,Carlsson
25,"Tue, Dec 5",Away,Colorado,401559614,L,3-2,10-15-0,Gibson,Carrick
25,"Thu, Dec 7",Away,Chicago,401559628,L,1-0,10-16-0,Dostal,Dostal
25,"Sun, Dec 10",Home,Winnipeg,401559654,L,4-2,10-17-0,Gibson,Killorn
25,"Wed, Dec 13",Away,New York,401559673,L,4-3,10-18-0,Gibson,Henrique
25,"Fri, Dec 15",Away,New York,401559684,L,5-1,10-19-0,Dostal,Leason
25,"Sun, Dec 17",Away,New Jersey,401559705,W,5-1,11-19-0,Gibson,Henrique
25,"Mon, Dec 18",Away,Detroit,401559708,W,4-3,12-19-0,Dostal,Terry
25,"Thu, Dec 21",Home,Calgary,401559737,L,3-0,12-20-0,Dostal,Dostal
25,"Sat, Dec 23",Home,Seattle,401559753,L,3-2,12-21-0,Dostal,Vatrano
25,"Wed, Dec 27",Home,Vegas,401559769,W,5-2,13-21-0,Gibson,McTavish
25,"Fri, Dec 29",Home,Arizona,401559782,L,2-0,13-22-0,Gibson,Gibson
25,"Sun, Dec 31",Home,Edmonton,401559801,L,7-2,13-23-0,Gibson,Jones
25,"Wed, Jan 3",Home,Toronto,401559816,L,2-1,13-23-1,Dostal,Dostal
25,"Fri, Jan 5",Home,Winnipeg,401559832,L,3-1,13-24-1,Gibson,Killorn
25,"Sun, Jan 7",Home,Detroit,401559848,L,3-2,13-25-1,Dostal,Zegras
25,"Tue, Jan 9",Away,Nashville,401559858,W,5-3,14-25-1,Dostal,Dostal
25,"Thu, Jan 11",Away,Carolina,401559873,L,6-3,14-26-1,Gibson,Lundestrom
25,"Sat, Jan 13",Away,Tampa Bay,401559888,L,5-1,14-27-1,Dostal,Vatrano
25,"Mon, Jan 15",Away,Florida,401559901,W,5-4,15-27-1,Gibson,Killorn
25,"Tue, Jan 16",Away,Washington,401559911,L,2-0,15-28-1,Gibson,Gibson
25,"Sat, Jan 20",Away,San Jose,401559945,L,5-3,15-29-1,Gibson,Terry
25,"Sun, Jan 21",Home,New York,401559951,L,5-2,15-30-1,Dostal,Henrique
25,"Tue, Jan 23",Home,Buffalo,401559966,W,4-2,16-30-1,Gibson,Silfverberg
25,"Thu, Jan 25",Away,Dallas,401559980,L,4-3,16-30-2,Gibson,Silfverberg
25,"Sat, Jan 27",Away,Minnesota,401559999,W,3-2,17-30-2,Dostal,Dostal
25,DATE,Away,OPPONENT,N/A,NULL,NULL,NULL,NULL,NULL
25,"Fri, Feb 9",Home,Edmonton,401560032,NULL,NULL,NULL,NULL,NULL
25,"Tue, Feb 13",Away,Montreal,401560055,NULL,NULL,NULL,NULL,NULL
25,"Thu, Feb 15",Away,Ottawa,401560069,NULL,NULL,NULL,NULL,NULL
25,"Sat, Feb 17",Away,Toronto,401560086,NULL,NULL,NULL,NULL,NULL
25,"Mon, Feb 19",Away,Buffalo,401560093,NULL,NULL,NULL,NULL,NULL
25,"Wed, Feb 21",Home,Columbus,401560115,NULL,NULL,NULL,NULL,NULL
25,"Sat, Feb 24",Away,Los Angeles,401560142,NULL,NULL,NULL,NULL,NULL
25,"Sun, Feb 25",Home,Nashville,401560149,NULL,NULL,NULL,NULL,NULL
25,"Thu, Feb 29",Away,San Jose,401560179,NULL,NULL,NULL,NULL,NULL
25,"Fri, Mar 1",Home,New Jersey,401560182,NULL,NULL,NULL,NULL,NULL
25,"Sun, Mar 3",Home,Vancouver,401560200,NULL,NULL,NULL,NULL,NULL
25,"Wed, Mar 6",Home,Ottawa,401560219,NULL,NULL,NULL,NULL,NULL
25,"Fri, Mar 8",Home,Dallas,401560234,NULL,NULL,NULL,NULL,NULL
25,"Sun, Mar 10",Home,New York,401560253,NULL,NULL,NULL,NULL,NULL
25,"Tue, Mar 12",Away,Chicago,401560265,NULL,NULL,NULL,NULL,NULL
25,"Thu, Mar 14",Away,Minnesota,401560281,NULL,NULL,NULL,NULL,NULL
25,"Fri, Mar 15",Away,Winnipeg,401560284,NULL,NULL,NULL,NULL,NULL
25,"Sun, Mar 17",Away,St. Louis,401560306,NULL,NULL,NULL,NULL,NULL
25,"Tue, Mar 19",Home,Minnesota,401560321,NULL,NULL,NULL,NULL,NULL
25,"Thu, Mar 21",Home,Chicago,401560334,NULL,NULL,NULL,NULL,NULL
25,"Sun, Mar 24",Home,Tampa Bay,401560358,NULL,NULL,NULL,NULL,NULL
25,"Tue, Mar 26",Away,Seattle,401560373,NULL,NULL,NULL,NULL,NULL
25,"Thu, Mar 28",Away,Seattle,401560390,NULL,NULL,NULL,NULL,NULL
25,"Sat, Mar 30",Away,Edmonton,401560394,NULL,NULL,NULL,NULL,NULL
25,"Sun, Mar 31",Away,Vancouver,401560407,NULL,NULL,NULL,NULL,NULL
25,"Tue, Apr 2",Away,Calgary,401560422,NULL,NULL,NULL,NULL,NULL
25,"Fri, Apr 5",Home,Seattle,401560443,NULL,NULL,NULL,NULL,NULL
25,"Sun, Apr 7",Home,St. Louis,401560462,NULL,NULL,NULL,NULL,NULL
25,"Tue, Apr 9",Home,Los Angeles,401560476,NULL,NULL,NULL,NULL,NULL
25,"Fri, Apr 12",Home,Calgary,401560496,NULL,NULL,NULL,NULL,NULL
25,"Sat, Apr 13",Away,Los Angeles,401560508,NULL,NULL,NULL,NULL,NULL
24,DATE,Away,OPPONENT,N/A,N/A,,W-L-OTL,Goalie,Top Performer
24,"Fri, Oct 13",Away,New Jersey,401559253,W,4-3,1-0-0,Vejmelka,Vejmelka
24,"Mon, Oct 16",Away,New York,401559272,L,2-1,1-1-0,Ingram,Ingram
24,"Tue, Oct 17",Away,New York,401559278,L,1-0,1-2-0,Vejmelka,Vejmelka
24,"Thu, Oct 19",Away,St. Louis,401559291,W,6-2,2-2-0,Ingram,Zucker
24,"Sat, Oct 21",Home,Anaheim,401559301,W,2-1,3-2-0,Vejmelka,Vejmelka
24,"Tue, Oct 24",Away,Los Angeles,401559332,L,6-3,3-3-0,Vejmelka,Bjugstad
24,"Fri, Oct 27",Home,Los Angeles,401559351,L,5-4,3-4-0,Vejmelka,Moser
24,"Mon, Oct 30",Home,Chicago,401559371,W,8-1,4-4-0,Ingram,Carcone
24,"Wed, Nov 1",Away,Anaheim,401559378,L,4-3,4-4-1,Vejmelka,Crouse
24,"Thu, Nov 2",Home,Montreal,401559387,W,3-2,5-4-1,Ingram,Schmaltz
24,"Sat, Nov 4",Home,Winnipeg,401559394,L,5-3,5-5-1,Vejmelka,Crouse
24,"Tue, Nov 7",Home,Seattle,401559419,W,4-3,6-5-1,Ingram,Ingram
24,"Thu, Nov 9",Away,St. Louis,401559432,L,2-1,6-6-1,Vejmelka,Vejmelka
24,"Sat, Nov 11",Away,Nashville,401559451,W,7-5,7-6-1,Ingram,Cooley
24,"Tue, Nov 14",Away,Dallas,401559468,L,4-3,7-6-2,Vejmelka,Crouse
24,"Thu, Nov 16",Away,Columbus,401559477,W,3-2,8-6-2,Ingram,Ingram
24,"Sat, Nov 18",Away,Winnipeg,401559491,L,5-2,8-7-2,Vejmelka,Boyd
24,"Mon, Nov 20",Home,Los Angeles,401559505,L,4-1,8-8-2,Ingram,Crouse
24,"Wed, Nov 22",Home,St. Louis,401559517,L,6-5,8-9-2,Ingram,Maccelli
24,"Sat, Nov 25",Away,Vegas,401559543,W,2-0,9-9-2,Ingram,Ingram
24,"Tue, Nov 28",Home,Tampa Bay,401559565,W,3-1,10-9-2,Ingram,Ingram
24,"Thu, Nov 30",Home,Colorado,401559580,W,4-3,11-9-2,Ingram,Kerfoot
24,"Sat, Dec 2",Home,St. Louis,401559594,W,4-1,12-9-2,Ingram,Ingram
24,"Mon, Dec 4",Home,Washington,401559607,W,6-0,13-9-2,Ingram,Ingram
24,"Thu, Dec 7",Home,Philadelphia,401559631,L,4-1,13-10-2,Ingram,Crouse
24,"Sat, Dec 9",Away,Boston,401559637,L,5-3,13-11-2,Ingram,Keller
24,"Mon, Dec 11",Away,Buffalo,401559657,L,5-2,13-12-2,Vejmelka,Moser
24,"Tue, Dec 12",Away,Pittsburgh,401559663,L,4-2,13-13-2,Ingram,Ingram
24,"Fri, Dec 15",Home,San Jose,401559688,W,1-0,14-13-2,Ingram,Ingram
24,"Sat, Dec 16",Home,Buffalo,401559699,W,2-0,15-13-2,Vejmelka,Vejmelka
24,"Tue, Dec 19",Home,Ottawa,401559722,W,4-3,16-13-2,Vejmelka,Vejmelka
24,"Thu, Dec 21",Away,San Jose,401559738,W,5-2,17-13-2,Vejmelka,Kerfoot
24,"Sat, Dec 23",Away,Colorado,401559754,L,4-1,17-14-2,Ingram,Carcone
24,"Wed, Dec 27",Home,Colorado,401559767,W,5-4,18-14-2,Vejmelka,Durzi
24,"Fri, Dec 29",Away,Anaheim,401559782,W,2-0,19-14-2,Ingram,Ingram
24,"Tue, Jan 2",Home,Florida,401559811,L,4-1,19-15-2,Vejmelka,Vejmelka
24,"Thu, Jan 4",Home,New York,401559825,L,5-1,19-16-2,Ingram,Schmaltz
24,"Sun, Jan 7",Home,Winnipeg,401559847,L,6-2,19-17-2,Vejmelka,Guenther
24,"Tue, Jan 9",Home,Boston,401559862,W,4-3,20-17-2,Ingram,Guenther
24,"Thu, Jan 11",Home,Calgary,401559877,L,6-2,20-18-2,Vejmelka,Bjugstad
24,"Sat, Jan 13",Away,Minnesota,401559895,W,6-0,21-18-2,Ingram,Ingram
24,"Tue, Jan 16",Away,Calgary,401559915,L,3-2,21-18-3,Ingram,Durzi
24,"Thu, Jan 18",Away,Vancouver,401559929,L,2-1,21-19-3,Ingram,Zucker
24,"Sat, Jan 20",Home,Nashville,401559938,W,3-2,22-19-3,Ingram,Keller
24,"Mon, Jan 22",Home,Pittsburgh,401559956,W,5-2,23-19-3,Ingram,Zucker
24,"Wed, Jan 24",Away,Florida,401559969,L,6-2,23-20-3,Vejmelka,Guenther
24,"Thu, Jan 25",Away,Tampa Bay,401559978,L,6-3,23-21-3,Ingram,Keller
24,"Sat, Jan 27",Away,Carolina,401559996,L,3-1,23-22-3,Ingram,Ingram
24,DATE,Away,OPPONENT,N/A,NULL,NULL,NULL,NULL,NULL
24,"Sat, Feb 10",Away,Nashville,401560044,NULL,NULL,NULL,NULL,NULL
24,"Mon, Feb 12",Away,Philadelphia,401560050,NULL,NULL,NULL,NULL,NULL
24,"Wed, Feb 14",Home,Minnesota,401560065,NULL,NULL,NULL,NULL,NULL
