id,name,position,jersey_number,age,height,weight,shot
4270820,Alex Barre-Boulet,C,12,26,"5' 10""",178 lbs,L
3941973,Anthony Cirelli,C,71,26,"6' 1""",190 lbs,L
4270247,Michael Eyssimont,C,23,27,"6' 0""",201 lbs,L
2335062,Luke Glendening,C,11,34,"5' 10""",190 lbs,R
3042138,Tyler Motte,C,64,28,"5' 10""",194 lbs,L
3151187,Brayden Point,C,21,27,"5' 10""",178 lbs,R
5037,Steven Stamkos,C,91,33,"6' 1""",193 lbs,R
4065019,Brandon Hagel,LW,38,25,"6' 2""",183 lbs,L
4064780,Tanner Jeannot,LW,84,26,"6' 2""",220 lbs,L
3042111,Nicholas Paul,LW,20,28,"6' 3""",229 lbs,L
3149827,Conor Sheary,LW,73,31,"5' 8""",179 lbs,L
5556,Austin Watson,LW,51,32,"6' 4""",238 lbs,R
4419646,Mitchell Chaffee,RW,41,26,"6' 0""",205 lbs,R
2563060,Nikita Kucherov,RW,86,30,"5' 11""",182 lbs,R
3904178,Erik Cernak,D,81,26,"6' 3""",230 lbs,R
5266,Calvin de Haan,D,44,32,"6' 1""",192 lbs,L
3114735,Haydn Fleury,D,7,27,"6' 4""",207 lbs,L
5157,Victor Hedman,D,77,33,"6' 7""",246 lbs,L
5146599,Emil Martinsen Lilleberg,D,78,23,"6' 2""",202 lbs,L
4419638,Nick Perbix,D,48,25,"6' 3""",202 lbs,R
3149843,Darren Raddysh,D,43,27,"6' 1""",195 lbs,R
4024868,Mikhail Sergachev,D,98,25,"6' 3""",211 lbs,L
3115546,Jonas Johansson,G,31,28,"6' 5""",219 lbs,L
2976847,Andrei Vasilevskiy,G,88,29,"6' 4""",220 lbs,L
